,nasdaq100,nifty50,gold
2008-10-15,60535.52108786255,3338.39990234375,40649.581398010254
2008-10-16,64103.135323827155,3269.300048828125,39131.63599205017
2008-10-17,64042.10657150019,3074.35009765625,38330.93756955257
2008-10-20,66145.90533056762,3122.800048828125,38511.27550147707
2008-10-21,63155.026318010874,3234.89990234375,37698.24773890991
2008-10-22,61341.104822610505,3065.14990234375,36360.679223358165
2008-10-23,61654.40882417606,2943.14990234375,35490.241654525744
2008-10-24,59818.94610594027,2584.0,36276.37006404111
2008-10-27,58161.46448459476,2524.199951171875,36877.32551232912
2008-10-29,64430.19816705445,2697.050048828125,37249.295437854016
2008-10-31,65942.1376244165,2885.60009765625,35412.06970943604
2008-11-03,64565.86321640015,3043.85009765625,35089.776177929714
2008-11-04,65686.27383798826,3142.10009765625,36026.42349243164
2008-11-05,61396.754616575316,2994.949951171875,35010.85719134216
2008-11-06,58963.76848951075,2892.64990234375,34714.453051464865
2008-11-07,60471.88925586548,2973.0,34867.32680426026
2008-11-10,59162.29177093506,3148.25,35260.91390888672
2008-11-11,58692.27779836487,2938.64990234375,35054.747955322266
2008-11-12,57435.75336282654,2848.449951171875,35371.844992111204
2008-11-14,57545.89164418122,2810.35009765625,36216.501093334984
2008-11-17,56199.51784573123,2799.550048828125,36194.33407032164
2008-11-18,57304.39734649658,2683.14990234375,36323.7725260742
2008-11-19,54001.51445246581,2635.0,36538.90832661744
2008-11-20,52241.14201441407,2553.14990234375,37730.1881005615
2008-11-21,53787.82006314909,2693.449951171875,39227.15247060242
2008-11-24,57479.20277849492,2708.25,40801.20376541745
2008-11-25,56652.54217027221,2654.0,40578.72856037598
2008-11-26,58806.21307300776,2752.25,39850.15768432617
2008-11-28,59133.35123348236,2755.10009765625,40703.89373696898
2008-12-01,54763.1394957141,2682.89990234375,38875.623361956794
2008-12-02,56602.82955169678,2657.800048828125,39136.09737857361
2008-12-03,58132.73466776125,2656.449951171875,38323.141463037115
2008-12-04,55909.33424091339,2788.0,37866.1483579895
2008-12-05,58378.77024448151,2714.39990234375,37197.03129386902
2008-12-08,60543.69491289742,2784.0,37925.67770726932
2008-12-10,59863.615456868894,2928.25,39526.106759539805
2008-12-11,57122.45678927004,2920.14990234375,39916.911677917466
2008-12-12,58200.352689709514,2921.35009765625,39498.00627705082
2008-12-15,56123.459881044924,2981.199951171875,39670.64055144042
2008-12-16,59399.031788879074,3041.75,40206.32749312441
2008-12-17,58315.3843156714,2954.35009765625,41267.84175872803
2008-12-18,56195.170924728736,3060.75,40097.75951026613
2008-12-19,57254.17827227153,3077.5,39342.58284241939
2008-12-22,56999.52652348019,3039.300048828125,40560.90404886473
2008-12-23,57538.52811436914,2968.64990234375,40713.03748785402
2008-12-24,56931.67028473504,2916.85009765625,40721.78883720096
2008-12-26,57710.771075703204,2857.25,42373.68321979977
2008-12-29,56331.14271739498,2922.199951171875,41995.66553303227
2008-12-30,58204.9222605438,2979.5,42117.58507179259
2008-12-31,58237.95675951382,2959.14990234375,42470.23161309818
2009-01-02,60967.20279450994,3046.75,42397.70447241212
2009-01-05,60890.078137559816,3121.449951171875,41341.899467211915
2009-01-06,61819.138337620534,3112.800048828125,41976.22910855105
2009-01-07,60135.265789312776,2920.39990234375,40836.24381093448
2009-01-09,59276.84732447844,2873.0,41406.210530862445
2009-01-12,58245.19689323334,2773.10009765625,39777.98748369445
2009-01-13,58773.50540854642,2744.949951171875,40078.28493092349
2009-01-14,56600.38691317756,2835.300048828125,39318.93182708742
2009-01-15,57601.91718349606,2736.699951171875,39262.08811700437
2009-01-16,58281.12659732485,2828.449951171875,40826.07061249693
2009-01-20,55590.45822448516,2796.60009765625,41797.6305449768
2009-01-21,58259.9458722705,2706.14990234375,41743.39510783693
2009-01-22,57330.53382029291,2713.800048828125,42121.31589912111
2009-01-23,57639.778568188194,2678.550048828125,43885.816195077496
2009-01-27,58276.46041506715,2771.35009765625,43872.86812489014
2009-01-28,60302.522161393426,2849.5,43332.1738461731
2009-01-29,58835.76117940061,2823.949951171875,44234.952101184055
2009-01-30,57517.12526702881,2874.800048828125,45190.111889855936
2009-02-02,58502.06783771515,2766.64990234375,44360.29740547179
2009-02-03,59246.40749997925,2783.89990234375,43472.51205444336
2009-02-04,59010.34294276452,2803.050048828125,43773.579231543
2009-02-05,60655.53312639007,2780.050048828125,44506.02295007324
2009-02-06,61434.4938253006,2843.10009765625,43949.45231352234
2009-02-09,62206.16468536528,2919.89990234375,43313.526958581526
2009-02-10,59733.6604151614,2934.5,44398.510128762806
2009-02-11,59644.45087044686,2925.699951171875,45876.23141958006
2009-02-12,60583.2639743574,2893.050048828125,46236.531063079834
2009-02-13,60308.802733558696,2948.35009765625,45907.53841972351
2009-02-17,58699.1308372803,2770.5,47818.15073776245
2009-02-18,59313.68066868745,2776.14990234375,48782.34255662537
2009-02-19,57927.34294450376,2789.35009765625,48414.55729965214
2009-02-20,57542.533293776214,2736.449951171875,49156.322595910635
2009-02-24,58307.74783188943,2733.89990234375,48235.98049906315
