,0,1,2,3,4,5,6,7,8,9
2017-11-30,ADANIENSOL,JINDALSTEL,DLF,TVSMOTOR,MOTHERSON,SOLARINDS,UNITDSPR,LTM,BRITANNIA,GAIL
2017-12-31,ADANIENSOL,JINDALSTEL,DLF,TVSMOTOR,UNITDSPR,MOTHERSON,SOLARINDS,VBL,MUTHOOTFIN,LTM
2018-01-31,JINDALSTEL,ADANIENSOL,LTM,DLF,TVSMOTOR,VBL,MOTHERSON,SOLARINDS,ABB,UNITDSPR
2018-02-28,ADANIENSOL,LTM,JINDALSTEL,VBL,TVSMOTOR,BRITANNIA,DLF,CHOLAFIN,SOLARINDS,MOTHERSON
2018-03-31,ADANIENSOL,DMART,LTM,JINDALSTEL,DIVISLAB,VBL,CHOLAFIN,BRITANNIA,TVSMOTOR,UNITDSPR
2018-04-30,LTM,JINDALSTEL,ADANIENSOL,DMART,UNITDSPR,DIVISLAB,CHOLAFIN,BRITANNIA,PIDILITIND,VBL
2018-05-31,LTM,DMART,JINDALSTEL,DIVISLAB,BRITANNIA,VBL,PIDILITIND,CHOLAFIN,UNITDSPR,SOLARINDS
2018-06-30,LTM,DMART,JINDALSTEL,BRITANNIA,DIVISLAB,VBL,UNITDSPR,BAJAJHLDNG,SOLARINDS,CHOLAFIN
2018-07-31,LTM,DMART,DIVISLAB,BRITANNIA,VBL,PIDILITIND,GAIL,ADANIENSOL,SOLARINDS,JINDALSTEL
2018-08-31,LTM,DIVISLAB,ADANIENSOL,JINDALSTEL,BRITANNIA,GODREJCP,VBL,DMART,TORNTPHARM,PIDILITIND
2018-09-30,LTM,DIVISLAB,JINDALSTEL,VBL,TORNTPHARM,BRITANNIA,PIDILITIND,DMART,GODREJCP,INDHOTEL
2018-10-31,LTM,DIVISLAB,VBL,ADANIPOWER,TORNTPHARM,PIDILITIND,BRITANNIA,GODREJCP,DMART,INDHOTEL
2018-11-30,LTM,ADANIPOWER,VBL,DIVISLAB,TORNTPHARM,PIDILITIND,DMART,BRITANNIA,ADANIENSOL,GODREJCP
2018-12-31,LTM,DIVISLAB,DMART,BRITANNIA,TORNTPHARM,INDHOTEL,GODREJCP,PIDILITIND,ADANIPOWER,VBL
2019-01-31,DIVISLAB,LTM,BRITANNIA,TORNTPHARM,PIDILITIND,ADANIPOWER,MUTHOOTFIN,VBL,DMART,INDHOTEL
2019-02-28,DIVISLAB,ADANIPOWER,MUTHOOTFIN,TORNTPHARM,PIDILITIND,VBL,BRITANNIA,LTM,BAJAJHLDNG,PFC
2019-03-31,ADANIPOWER,TORNTPHARM,DIVISLAB,MUTHOOTFIN,PFC,BAJAJHLDNG,PIDILITIND,RECLTD,VBL,LTM
2019-04-30,ADANIPOWER,DIVISLAB,MUTHOOTFIN,VBL,PFC,ADANIENSOL,TORNTPHARM,RECLTD,SHREECEM,BAJAJHLDNG
2019-05-31,ADANIPOWER,ADANIENSOL,MUTHOOTFIN,PFC,DIVISLAB,RECLTD,SHREECEM,BAJAJHLDNG,ABB,SIEMENS
