date,equity
2015-08-24,9370232.44
2015-08-31,9413349.31
2015-09-07,9470371.58
2015-09-14,9473388.04
2015-09-21,9553692.83
2015-09-28,9498963.07
2015-10-05,9533739.96
2015-10-12,9635926.81
2015-10-19,9570513.3
2015-10-26,9367763.4
2015-11-02,9478396.27
2015-11-09,9552477.0
2015-11-16,9651367.45
2015-11-23,9660230.03
2015-11-30,9422977.89
2015-12-07,9589695.25
2015-12-14,9617841.11
2015-12-21,9722806.98
2015-12-28,9562618.34
2016-01-04,8935100.74
2016-01-11,8746719.42
2016-01-18,8804801.0
2016-01-25,8734701.13
2016-02-01,8517288.8
2016-02-08,8534356.33
2016-02-15,8511310.57
2016-02-22,8538486.6
2016-02-29,8546925.64
2016-03-07,8581635.8
2016-03-14,8573394.82
2016-03-21,8618436.03
2016-03-28,8606940.6
2016-04-04,8744700.78
2016-04-11,8710949.92
2016-04-18,8714313.59
2016-04-25,8662994.06
2016-05-02,8939084.22
2016-05-09,8808334.02
2016-05-16,9117259.91
2016-05-23,9236213.07
2016-05-30,9302849.86
2016-06-06,9323933.4
2016-06-13,9218154.23
2016-06-20,9804279.27
2016-06-27,9933379.88
2016-07-04,9986964.89
2016-07-11,10211975.3
2016-07-18,10502774.12
2016-07-25,10660498.83
2016-08-01,10516109.85
2016-08-08,10703836.06
2016-08-15,10631864.42
2016-08-22,10949275.27
2016-08-29,11122045.9
2016-09-05,10935070.5
2016-09-12,11101157.32
2016-09-19,10856008.72
2016-09-26,11221363.81
2016-10-03,11218570.07
2016-10-10,11318099.77
2016-10-17,11190131.04
2016-10-24,10784224.47
2016-10-31,10578646.62
2016-11-07,10203569.92
2016-11-14,10169035.09
2016-11-21,10253558.12
2016-11-28,10392692.02
2016-12-05,10316774.15
2016-12-12,10079169.3
2016-12-19,10127527.61
2016-12-26,10290100.03
2017-01-02,10378632.03
2017-01-09,10436164.83
2017-01-16,10681704.11
2017-01-23,10853327.44
2017-01-30,11138426.6
2017-02-06,11101719.05
2017-02-13,11046308.99
2017-02-20,11017268.94
2017-02-27,11079177.69
2017-03-06,11383795.39
2017-03-13,11411022.17
2017-03-20,11722657.86
