date,nifty_close,india_vix
2020-06-15,9813.7,32.58
2020-06-16,9914.0,32.97
2020-06-17,9881.15,33.35
2020-06-18,10091.65,31.46
2020-06-19,10244.4,29.97
2020-06-22,10311.2,30.46
2020-06-23,10471.0,29.34
2020-06-24,10305.3,29.58
2020-06-25,10288.9,29.73
2020-06-26,10383.0,28.74
2020-06-29,10312.4,28.91
2020-06-30,10302.1,29.12
2020-07-01,10430.05,28.12
2020-07-02,10551.7,26.51
2020-07-03,10607.35,25.77
2020-07-06,10763.65,25.2
2020-07-07,10799.65,25.1
2020-07-08,10705.75,26.1
2020-07-09,10813.45,24.91
2020-07-10,10768.05,24.94
2020-07-13,10802.7,25.25
2020-07-14,10607.35,26.64
2020-07-15,10618.2,26.29
2020-07-16,10739.95,25.36
2020-07-17,10901.7,24.16
2020-07-20,11022.2,24.71
2020-07-21,11162.25,24.43
2020-07-22,11132.6,24.89
2020-07-23,11215.45,24.64
2020-07-24,11194.15,24.54
2020-07-27,11131.8,25.02
2020-07-28,11300.55,23.64
2020-07-29,11202.85,24.11
2020-07-30,11102.15,24.73
2020-07-31,11073.45,24.19
2020-08-03,10891.6,25.19
2020-08-04,11095.25,23.82
2020-08-05,11101.65,23.57
2020-08-06,11200.15,23.15
2020-08-07,11214.05,22.58
2020-08-10,11270.15,22.51
2020-08-11,11322.5,21.36
2020-08-12,11308.4,20.85
2020-08-13,11300.45,20.57
2020-08-14,11178.4,21.67
2020-08-17,11247.1,21.31
2020-08-18,11385.35,20.43
2020-08-19,11408.4,19.96
2020-08-20,11312.2,20.62
2020-08-21,11371.6,19.94
2020-08-24,11466.45,19.23
2020-08-25,11472.25,19.32
2020-08-26,11549.6,19.3
2020-08-27,11559.25,18.9
2020-08-28,11647.6,18.35
2020-08-31,11387.5,22.84
2020-09-01,11470.25,21.8
2020-09-02,11535.0,21.11
2020-09-03,11527.45,20.5
2020-09-04,11333.85,22.15
2020-09-07,11355.05,22.01
2020-09-08,11317.35,22.72
2020-09-09,11278.0,22.23
2020-09-10,11449.25,21.26
2020-09-11,11464.45,20.71
2020-09-14,11440.05,21.19
2020-09-15,11521.8,20.6
2020-09-16,11604.55,19.66
2020-09-17,11516.1,20.1
2020-09-18,11504.95,20.05
2020-09-21,11250.55,22.19
2020-09-22,11153.65,21.41
2020-09-23,11131.85,20.99
2020-09-24,10805.55,23.51
2020-09-25,11050.25,20.68
2020-09-28,11227.55,19.57
2020-09-29,11222.4,19.77
2020-09-30,11247.55,19.53
2020-10-01,11416.95,18.35
2020-10-05,11503.35,19.7
2020-10-06,11662.4,19.64
2020-10-07,11738.85,20.06
2020-10-08,11834.6,20.38
2020-10-09,11914.2,20.38
2020-10-12,11930.95,21.13
2020-10-13,11934.5,20.72
2020-10-14,11971.05,20.21
2020-10-15,11680.35,22.06
2020-10-16,11762.45,21.65
2020-10-19,11873.05,21.82
2020-10-20,11896.8,22.69
2020-10-21,11937.65,22.92
2020-10-22,11896.45,22.64
2020-10-23,11930.35,21.83
2020-10-26,11767.75,22.83
2020-10-27,11889.4,22.2
2020-10-28,11729.6,23.28
2020-10-29,11670.8,24.02
2020-10-30,11642.4,24.75
2020-11-02,11669.15,25.21
2020-11-03,11813.5,24.24
2020-11-04,11908.5,23.2
2020-11-05,12120.3,20.97
2020-11-06,12263.55,20.5
2020-11-09,12461.05,20.11
2020-11-10,12631.1,21.58
2020-11-11,12749.15,22.03
2020-11-12,12690.8,20.62
2020-11-13,12719.95,19.7
2020-11-17,12874.2,19.8
2020-11-18,12938.25,19.12
2020-11-19,12771.7,19.57
2020-11-20,12859.05,19.62
2020-11-23,12926.45,20.8
2020-11-24,13055.15,21.06
2020-11-25,12858.4,23.13
2020-11-26,12987.0,20.02
2020-11-27,12968.95,19.82
2020-12-01,13109.05,20.18
2020-12-02,13113.75,19.91
2020-12-03,13133.9,19.0
2020-12-04,13258.55,18.03
2020-12-07,13355.75,18.02
2020-12-08,13392.95,18.62
2020-12-09,13529.1,18.92
2020-12-10,13478.3,18.71
2020-12-11,13513.85,18.79
2020-12-14,13558.15,19.4
2020-12-15,13567.85,19.35
2020-12-16,13682.7,19.2
2020-12-17,13740.7,19.16
2020-12-18,13760.55,18.62
2020-12-21,13328.4,23.19
2020-12-22,13466.3,21.99
2020-12-23,13601.1,20.5
2020-12-24,13749.25,19.97
2020-12-28,13873.2,20.43
2020-12-29,13932.6,20.79
2020-12-30,13981.95,21.11
2020-12-31,13981.75,21.1
2021-01-01,14018.5,21.1
2021-01-04,14132.9,20.03
2021-01-05,14199.5,20.46
2021-01-06,14146.25,21.0
2021-01-07,14137.35,20.62
2021-01-08,14347.25,20.64
2021-01-11,14484.75,22.38
2021-01-12,14563.45,22.85
2021-01-13,14564.85,23.29
2021-01-14,14595.6,23.03
2021-01-15,14433.7,24.01
2021-01-18,14281.3,24.4
2021-01-19,14521.15,22.9
2021-01-20,14644.7,21.55
2021-01-21,14590.35,22.18
2021-01-22,14371.9,22.18
2021-01-25,14238.9,23.25
2021-01-27,13967.5,24.39
2021-01-28,13817.55,24.29
2021-01-29,13634.6,25.34
2021-02-01,14281.2,23.32
2021-02-02,14647.85,23.35
2021-02-03,14789.95,23.75
2021-02-04,14895.65,23.12
2021-02-05,14924.25,23.42
2021-02-08,15115.8,23.96
2021-02-09,15109.3,24.27
2021-02-10,15106.5,23.95
2021-02-11,15173.3,23.05
2021-02-12,15163.3,22.04
2021-02-15,15314.7,22.04
2021-02-16,15313.45,21.78
2021-02-17,15208.9,21.78
2021-02-18,15118.95,21.54
2021-02-19,14981.75,22.25
2021-02-22,14675.7,25.47
2021-02-23,14707.8,25.23
2021-02-24,14982.0,24.17
2021-02-25,15097.35,22.89
2021-02-26,14529.15,28.14
2021-03-01,14761.55,25.63
2021-03-02,14919.1,23.61
2021-03-03,15245.6,22.09
2021-03-04,15080.75,24.15
2021-03-05,14938.1,25.56
2021-03-08,14956.2,24.68
2021-03-09,15098.4,22.5
2021-03-10,15174.8,20.75
2021-03-12,15030.95,21.71
2021-03-15,14929.5,21.23
2021-03-16,14910.45,20.19
2021-03-17,14721.3,20.16
2021-03-18,14557.85,20.08
2021-03-19,14744.0,19.99
2021-03-22,14736.4,20.49
2021-03-23,14814.75,20.67
2021-03-24,14549.4,22.46
2021-03-25,14324.9,22.7
2021-03-26,14507.3,20.65
2021-03-30,14845.1,20.49
2021-03-31,14690.7,20.65
2021-04-01,14867.35,19.99
2021-04-05,14637.8,21.22
2021-04-06,14683.5,20.84
2021-04-07,14819.05,20.25
2021-04-08,14873.8,20.31
2021-04-09,14834.85,19.79
2021-04-12,14310.8,23.0
2021-04-13,14504.8,20.46
2021-04-15,14581.45,20.89
2021-04-16,14617.85,20.4
2021-04-19,14359.45,22.49
2021-04-20,14296.4,22.43
2021-04-22,14406.15,23.03
2021-04-23,14341.35,22.69
2021-04-26,14485.0,23.5
2021-04-27,14653.05,23.08
2021-04-28,14864.55,22.58
2021-04-29,14894.9,23.31
